Spieltag;Heimmannschaft;Auswärtsmannschaft;Tore_Heim;Tore_Gast
1;1. FSV Mainz 05;FC Ingolstadt 04;0;1
1;Bayer Leverkusen;1899 Hoffenheim;2;1
1;Borussia Dortmund;Borussia Mönchengladbach;4;0
1;FC Augsburg;Hertha BSC;0;1
1;FC Bayern München;Hamburger SV;5;0
1;SV Darmstadt 98;Hannover 96;2;2
1;SV Werder Bremen;FC Schalke 04;0;3
1;VfB Stuttgart;1. FC Köln;1;3
1;VfL Wolfsburg;Eintracht Frankfurt;2;1
2;1. FC Köln;VfL Wolfsburg;1;1
2;1899 Hoffenheim;FC Bayern München;1;2
2;Borussia Mönchengladbach;1. FSV Mainz 05;1;2
2;Eintracht Frankfurt;FC Augsburg;1;1
2;FC Ingolstadt 04;Borussia Dortmund;0;4
2;FC Schalke 04;SV Darmstadt 98;1;1
2;Hamburger SV;VfB Stuttgart;3;2
2;Hannover 96;Bayer Leverkusen;0;1
2;Hertha BSC;SV Werder Bremen;1;1
3;1. FC Köln;Hamburger SV;2;1
3;1. FSV Mainz 05;Hannover 96;3;0
3;Borussia Dortmund;Hertha BSC;3;1
3;FC Augsburg;FC Ingolstadt 04;0;1
3;FC Bayern München;Bayer Leverkusen;3;0
3;SV Darmstadt 98;1899 Hoffenheim;0;0
3;SV Werder Bremen;Borussia Mönchengladbach;2;1
3;VfB Stuttgart;Eintracht Frankfurt;1;4
3;VfL Wolfsburg;FC Schalke 04;3;0
4;1899 Hoffenheim;SV Werder Bremen;1;3
4;Bayer Leverkusen;SV Darmstadt 98;0;1
4;Borussia Mönchengladbach;Hamburger SV;0;3
4;Eintracht Frankfurt;1. FC Köln;6;2
4;FC Bayern München;FC Augsburg;2;1
4;FC Ingolstadt 04;VfL Wolfsburg;0;0
4;FC Schalke 04;1. FSV Mainz 05;2;1
4;Hannover 96;Borussia Dortmund;2;4
4;Hertha BSC;VfB Stuttgart;2;1
5;1. FC Köln;Borussia Mönchengladbach;1;0
5;1. FSV Mainz 05;1899 Hoffenheim;3;1
5;Borussia Dortmund;Bayer Leverkusen;3;0
5;FC Augsburg;Hannover 96;2;0
5;Hamburger SV;Eintracht Frankfurt;0;0
5;SV Darmstadt 98;FC Bayern München;0;3
5;SV Werder Bremen;FC Ingolstadt 04;0;1
5;VfB Stuttgart;FC Schalke 04;0;1
5;VfL Wolfsburg;Hertha BSC;2;0
6;1899 Hoffenheim;Borussia Dortmund;1;1
6;Bayer Leverkusen;1. FSV Mainz 05;1;0
6;Borussia Mönchengladbach;FC Augsburg;4;2
6;FC Bayern München;VfL Wolfsburg;5;1
6;FC Ingolstadt 04;Hamburger SV;0;1
6;FC Schalke 04;Eintracht Frankfurt;2;0
6;Hannover 96;VfB Stuttgart;1;3
6;Hertha BSC;1. FC Köln;2;0
6;SV Darmstadt 98;SV Werder Bremen;2;1
7;1. FC Köln;FC Ingolstadt 04;1;1
7;1. FSV Mainz 05;FC Bayern München;0;3
7;Borussia Dortmund;SV Darmstadt 98;2;2
7;Eintracht Frankfurt;Hertha BSC;1;1
7;FC Augsburg;1899 Hoffenheim;1;3
7;Hamburger SV;FC Schalke 04;0;1
7;SV Werder Bremen;Bayer Leverkusen;0;3
7;VfB Stuttgart;Borussia Mönchengladbach;1;3
7;VfL Wolfsburg;Hannover 96;1;1
8;1899 Hoffenheim;VfB Stuttgart;2;2
8;Bayer Leverkusen;FC Augsburg;1;1
8;Borussia Mönchengladbach;VfL Wolfsburg;2;0
8;FC Bayern München;Borussia Dortmund;5;1
8;FC Ingolstadt 04;Eintracht Frankfurt;2;0
8;FC Schalke 04;1. FC Köln;0;3
